episode,game,exploration,explored,safe,MA_explored,MA_safe
0,[0]_forecast_horizon=[10],99.0,-283.9,0.0,-283.9,0.0
1,[1]_forecast_horizon=[23],98.0,-377.2,0.0,-330.6,0.0
2,[2]_forecast_horizon=[23],97.0,-93.0,0.0,-283.9,0.0
3,[3]_forecast_horizon=[29],96.1,-241.8,0.0,-262.8,0.0
4,[4]_forecast_horizon=[25],95.1,-240.8,0.0,-241.8,0.0
5,[5]_forecast_horizon=[26],94.1,-455.8,0.0,-262.8,0.0
6,[6]_forecast_horizon=[29],93.2,-443.8,0.0,-283.9,0.0
7,[7]_forecast_horizon=[10],92.3,-165.2,0.0,-262.8,0.0
8,[8]_forecast_horizon=[23],91.4,-372.1,0.0,-283.9,0.0
9,[9]_forecast_horizon=[15],90.4,-479.4,0.0,-328.0,0.0
10,[10]_forecast_horizon=[18],89.5,-161.4,0.0,-283.9,0.0
11,[11]_forecast_horizon=[13],88.6,-18.6,0.0,-262.8,0.0
12,[12]_forecast_horizon=[10],87.8,-160.6,0.0,-241.8,0.0
13,[13]_forecast_horizon=[22],86.9,-58.5,0.0,-241.3,0.0
14,[14]_forecast_horizon=[12],86.0,-142.1,0.0,-240.8,0.0
15,[15]_forecast_horizon=[27],85.1,-109.7,0.0,-203.0,0.0
16,[16]_forecast_horizon=[14],84.3,-23.8,0.0,-165.2,0.0
17,[17]_forecast_horizon=[18],83.5,-158.4,0.0,-163.3,0.0
18,[18]_forecast_horizon=[17],82.6,-146.9,0.0,-161.4,0.0
19,[19]_forecast_horizon=[18],81.8,-94.8,0.0,-161.0,0.0
20,[20]_forecast_horizon=[25],81.0,-119.8,0.0,-160.6,0.0
21,[21]_forecast_horizon=[18],80.2,-169.0,0.0,-161.0,0.0
22,[22]_forecast_horizon=[11],79.4,-328.5,0.0,-161.4,0.0
23,[23]_forecast_horizon=[15],78.6,-173.7,0.0,-163.3,0.0
24,[24]_forecast_horizon=[18],77.8,-75.5,0.0,-161.4,0.0
25,[25]_forecast_horizon=[12],77.0,-70.2,0.0,-161.0,0.0
26,[26]_forecast_horizon=[12],76.2,-127.0,0.0,-160.6,0.0
27,[27]_forecast_horizon=[25],75.5,-103.7,0.0,-159.5,0.0
28,[28]_forecast_horizon=[28],74.7,-131.3,0.0,-158.4,0.0
29,[29]_forecast_horizon=[23],74.0,-554.9,0.0,-159.5,0.0
30,[30]_forecast_horizon=[28],73.2,-893.5,0.0,-160.6,0.0
31,[31]_forecast_horizon=[14],72.5,-78.1,0.0,-159.5,0.0
32,[32]_forecast_horizon=[15],71.8,-237.8,0.0,-160.6,0.0
33,[33]_forecast_horizon=[10],71.1,-128.7,0.0,-159.5,0.0
34,[34]_forecast_horizon=[18],70.3,-156.6,0.0,-158.4,0.0
35,[35]_forecast_horizon=[22],69.6,-145.0,0.0,-157.5,0.0
36,[36]_forecast_horizon=[14],68.9,-131.5,0.0,-156.6,0.0
37,[37]_forecast_horizon=[19],68.3,-110.3,0.0,-151.7,0.0
38,[38]_forecast_horizon=[27],67.6,-425.6,0.0,-156.6,0.0
39,[39]_forecast_horizon=[24],66.9,-249.3,0.0,-157.5,0.0
40,[40]_forecast_horizon=[15],66.2,-254.1,0.0,-158.4,0.0
41,[41]_forecast_horizon=[19],65.6,-109.8,0.0,-157.5,0.0
42,[42]_forecast_horizon=[11],64.9,-97.4,0.0,-156.6,0.0
43,[43]_forecast_horizon=[15],64.3,-231.8,0.0,-157.5,0.0
44,[44]_forecast_horizon=[19],63.6,-181.9,0.0,-158.4,0.0
45,[45]_forecast_horizon=[27],63.0,-352.1,0.0,-159.5,0.0
46,[46]_forecast_horizon=[17],62.4,-67.0,0.0,-158.4,0.0
47,[47]_forecast_horizon=[28],61.7,-931.4,0.0,-159.5,0.0
48,[48]_forecast_horizon=[14],61.1,-2.7,0.0,-158.4,0.0
49,[49]_forecast_horizon=[17],60.5,-57.9,0.0,-157.5,0.0
50,[50]_forecast_horizon=[16],59.9,-146.1,0.0,-156.6,0.0
51,[51]_forecast_horizon=[28],59.3,-81.3,0.0,-151.7,0.0
52,[52]_forecast_horizon=[20],58.7,-218.1,0.0,-156.6,0.0
53,[53]_forecast_horizon=[26],58.1,-64.5,0.0,-151.7,0.0
54,[54]_forecast_horizon=[22],57.5,-37.1,0.0,-146.9,0.0
55,[55]_forecast_horizon=[20],57.0,-2.7,0.0,-146.5,0.0
56,[56]_forecast_horizon=[15],56.4,-32.1,0.0,-146.1,0.0
57,[57]_forecast_horizon=[22],55.8,-236.6,0.0,-146.5,0.0
58,[58]_forecast_horizon=[28],55.3,-350.1,0.0,-146.9,0.0
59,[59]_forecast_horizon=[21],54.7,-136.6,0.0,-146.5,0.0
60,[60]_forecast_horizon=[10],54.2,-366.2,0.0,-146.9,0.0
61,[61]_forecast_horizon=[11],53.6,-98.0,0.0,-146.5,0.0
62,[62]_forecast_horizon=[18],53.1,-548.3,0.0,-146.9,0.0
63,[63]_forecast_horizon=[24],52.6,-58.6,0.0,-146.5,0.0
